本数据策略分享会专用，由邢不行整理，微信：xbx9585
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,创业板指成分股,申万一级行业代码,申万一级行业名称,申万二级行业代码,申万二级行业名称,申万三级行业代码,申万三级行业名称
sz000977,浪潮信息,2000-06-08,22.71,32.88,22.71,29.78,7.71,37756000.0,1097052420.4,1738035000.0,6387650000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-09,29.58,30.0,27.81,27.89,29.71,8363300.0,240871703.0,1631565000.0,5996350000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-12,27.52,28.75,26.71,27.92,27.89,5155100.0,143170496.8,1633320000.0,6002800000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-13,27.9,28.49,27.36,27.77,27.92,2464000.0,68226430.6,1624545000.0,5970550000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-14,27.69,27.98,26.95,27.09,27.77,2511700.0,68323413.9,1584765000.0,5824350000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-15,27.01,27.58,26.8,27.08,27.09,1610900.0,43617463.2,1584180000.0,5822200000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-16,27.05,27.46,26.92,26.99,27.08,1346600.0,36494505.7,1578915000.0,5802850000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-19,27.0,27.1,26.05,26.1,26.99,2455400.0,64648308.6,1526850000.0,5611500000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-20,26.0,26.66,25.97,26.39,26.1,1117800.0,29304883.7,1543815000.0,5673850000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-21,26.39,27.49,26.26,27.27,26.39,1850000.0,50238657.5,1595295000.0,5863050000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-22,27.24,27.25,26.37,26.61,27.27,889300.0,23831611.6,1557270000.0,5723300000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-23,26.63,28.6,26.55,28.16,26.62,2879900.0,79914473.8,1647360000.0,6054400000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-26,28.3,28.47,27.65,27.72,28.16,1793300.0,50157794.6,1621620000.0,5959800000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-27,27.52,28.25,27.52,27.61,27.72,932600.0,25936430.7,1615185000.0,5936150000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-28,27.51,28.18,27.41,27.52,27.61,858700.0,23862175.1,1609920000.0,5916800000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-29,27.52,27.76,26.8,27.0,27.52,1385800.0,37443482.1,1579500000.0,5805000000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-06-30,27.0,27.2,26.78,26.87,27.0,864600.0,23241407.0,1571895000.0,5777050000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-03,26.75,26.75,26.2,26.22,26.87,1220500.0,32272009.7,1533870000.0,5637300000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-04,26.19,26.9,26.14,26.85,26.22,864900.0,22774740.8,1570725000.0,5772750000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-05,26.51,26.8,26.3,26.34,26.85,495800.0,13124458.0,1540890000.0,5663100000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-06,26.26,26.79,26.2,26.38,26.34,616300.0,16288802.0,1543230000.0,5671700000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-07,26.38,27.17,26.28,26.78,26.38,607800.0,16314638.0,1566630000.0,5757700000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-10,26.51,27.5,26.51,27.18,26.78,671600.0,18168517.2,1590030000.0,5843700000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-11,27.2,28.48,26.79,28.18,27.18,2754800.0,76806787.5,1648530000.0,6058700000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-12,28.3,28.43,27.5,27.71,28.18,1839000.0,51376453.4,1621035000.0,5957650000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-13,27.8,30.48,27.8,30.48,27.71,9174800.0,271844899.9,1783080000.0,6553200000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-14,31.88,32.7,30.57,30.93,30.48,11961500.0,377449357.6,1809405000.0,6649950000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-17,31.0,31.9,30.0,30.12,30.93,4060100.0,126219955.1,1762020000.0,6475800000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-18,30.1,31.45,30.08,31.19,30.12,2362100.0,72697889.3,1824615000.0,6705850000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-19,31.4,31.6,30.3,30.53,31.19,2787200.0,85743042.0,1786005000.0,6563950000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-20,30.53,30.7,29.48,29.97,30.53,2409300.0,72037934.9,1753245000.0,6443550000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-21,29.97,30.49,29.41,29.5,29.97,1880100.0,55966028.5,1725750000.0,6342500000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-24,29.5,29.79,28.9,29.47,29.5,1149800.0,33595733.4,1723995000.0,6336050000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
sz000977,浪潮信息,2000-07-25,29.41,29.8,29.0,29.29,29.47,974400.0,28596946.7,1713465000.0,6297350000.0,,,,,,,,,,,,,,,,,,,,,801101.0,计算机设备,851021.0,计算机设备
